lambda1 accuracy layer1_zero-layer2_zero-layer3_zero
5e-05 0.9675 507.39-504.44-498.36
5e-05 0.9723 496.61-487.85-503.53
5e-05 0.9716 513.00-507.08-501.68
5e-05 0.9708 499.48-492.95-499.83
5e-05 0.9696 492.87-505.63-506.28
5e-05 0.9707 486.79-522.15-483.67
5e-05 0.9709 493.28-500.22-490.42
5e-05 0.9691 507.07-498.05-497.30
5e-05 0.9709 494.01-510.16-502.64
5e-05 0.9701 490.74-515.38-499.98
2e-05 0.9759 507.39-504.44-498.36
2e-05 0.9777 496.61-487.85-503.53
2e-05 0.9716 513.00-507.08-501.68
2e-05 0.9772 499.48-492.95-499.83
2e-05 0.9756 492.87-505.63-506.28
2e-05 0.9751 486.79-522.15-483.67
2e-05 0.9735 493.28-500.22-490.42
2e-05 0.9768 507.07-498.05-497.30
2e-05 0.9716 494.01-510.16-502.64
2e-05 0.9755 490.74-515.38-499.98
5e-06 0.9759 507.39-504.44-498.36
5e-06 0.9783 496.61-487.85-503.53
5e-06 0.9787 513.00-507.08-501.68
5e-06 0.9813 499.48-492.95-499.83
5e-06 0.9790 492.87-505.63-506.28
5e-06 0.9795 486.79-522.15-483.67
5e-06 0.9806 493.28-500.22-490.42
5e-06 0.9796 507.07-498.05-497.30
5e-06 0.9782 494.01-510.16-502.64
5e-06 0.9805 490.74-515.38-499.98
2e-06 0.9785 507.39-504.44-498.36
2e-06 0.9824 496.61-487.85-503.53
2e-06 0.9793 513.00-507.08-501.68
2e-06 0.9822 499.48-492.95-499.83
2e-06 0.9817 492.87-505.63-506.28
2e-06 0.9794 486.79-522.15-483.67
2e-06 0.9794 493.28-500.22-490.42
2e-06 0.9831 507.07-498.05-497.30
2e-06 0.9795 494.01-510.16-502.64
2e-06 0.9793 490.74-515.38-499.98
0.0 0.9827 507.39-504.44-498.36
0.0 0.9820 496.61-487.85-503.53
0.0 0.9824 513.00-507.08-501.68
0.0 0.9830 499.48-492.95-499.83
0.0 0.9829 492.87-505.63-506.28
0.0 0.9776 486.79-522.15-483.67
0.0 0.9787 493.28-500.22-490.42
0.0 0.9780 507.07-498.05-497.30
0.0 0.9827 494.01-510.16-502.64
0.0 0.9813 490.74-515.38-499.98
